"gene_name","module","color","kME_blue","kME_turquoise","kME_grey","kME_yellow","kME_brown","kME_green"
"CYC1","turquoise","turquoise",-0.17299471146352,0.258220497705986,0.0132927358939812,0.116232967490193,-0.0542576153257275,0.0848900187150458
"SHARPIN","grey","grey",-0.00184600396756734,0.0550432954408659,0.041654913640125,0.0553360546980527,0.0118236260514282,0.0306347532454003
"MAF1","turquoise","turquoise",-0.0644806910877041,0.130420314374056,0.0383034653619637,0.102445007925813,0.0134965435546278,0.0250190800310104
"MROH1","grey","grey",0.190408653492341,-0.0226520163228318,0.100313762893832,0.0494759355588693,0.00350113992778577,0.00765697596207439
"HSF1","grey","grey",0.0149410634292947,0.0505235366986539,0.0583533805433335,0.0600116138123774,0.0163093857444968,0.0289769989360577
"DGAT1","grey","grey",-0.0555890450331066,0.122211522421384,0.0196113288965055,0.088873777582505,-0.00843081364120184,0.0101579213203702
"CPSF1","grey","grey",0.0121135267261896,0.0301201711650371,0.0153462834639462,0.0220828566547287,-0.00934154175119249,-0.00637288485402798
"VPS28","turquoise","turquoise",-0.163159205174586,0.248535340262105,-0.0256080265587945,0.114658129271377,-0.0206934438067977,0.00585243684945019
"CYHR1","grey","grey",0.00935769330980947,0.0736562379636801,0.0270640097519782,0.0779814165764844,0.022742467709113,0.0428205134478034
"KIFC2","grey","grey",0.171230534654941,-0.0764107270960845,0.0825960473458682,0.0118112924291061,0.0336078449156281,0.0281082335011273
"PPP1R16A","grey","grey",0.0539702191450722,-0.0116740075347124,0.0151072764010641,-0.0193266469173088,-0.0072507398771771,0.0139702132077647
"ARHGAP39","grey","grey",0.193698903514459,-0.0943535067453247,0.0655273098419941,-0.0139591005937811,0.00743847713911674,0.0103417417822382
"ZNF251","blue","blue",0.321646723296125,-0.201937568909381,0.114760994514818,-0.108730839562877,0.0797227171499535,0.00746489791434998
"RPL8","turquoise","turquoise",-0.157033371641343,0.2383903438612,0.0187402258196584,0.102179872266076,0.0457500177844743,0.0821027402674111
"ZNF7","grey","grey",0.079043750431835,-0.0670049171764791,0.0172943079698288,-0.069270957331823,0.0827558473344006,0.00375904253025852
"COMMD5","turquoise","turquoise",-0.0482174065700917,0.116464150550872,0.00932353858227154,0.0639059006378039,-0.0129128581057007,0.0317963164114027
"ZNF250","grey","grey",0.120638773201898,-0.0896680171975657,0.0681514189447679,-0.0329637369743477,0.0429894669603769,-0.0133443048565287
"C8orf33","turquoise","turquoise",-0.0787257514040274,0.17077694065599,0.0403922375646136,0.0798173705367689,-0.0397140702520184,0.0121131390630874
"WASHC1","grey","grey",0.222595209078453,-0.0938833505022201,0.134888928768678,-0.0392249642702672,0.0804539391160837,0.0178534796386412
"CBWD1","grey","grey",0.0432070207736553,-0.015997308119112,0.0469442410800559,0.00980242476760032,0.0435493970479037,-0.0362427527549394
"DOCK8","brown","brown",0.082407680388877,-0.0699464137243527,0.26772508127282,-0.0683759335196977,0.134950776628632,-0.016293052084625
"KANK1","brown","brown",0.235288035492277,-0.189948559186491,0.0670317759410915,-0.0923388326466366,0.219472211749758,-8.99770598150171e-05
"SMARCA2","turquoise","turquoise",0.0651682276609825,0.0716662681328465,0.0785547365711428,0.075506340452062,0.0136739120286175,-0.00122651602951891
"VLDLR-AS1","blue","blue",0.382061070096843,-0.27096523405817,0.163057925572293,-0.129511760149854,0.137927918494086,-0.0138877871264675
"VLDLR","grey","grey",-0.0100535817790659,0.0688939726921218,0.0377120738406463,0.0526448230842149,0.0125613167417158,0.0147955843098294
"PUM3","grey","grey",0.235162473596829,-0.102237846640002,0.125685197633916,-0.0188664920519691,0.0678064465104083,0.00481751524116695
