"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","db","module"
"Natural Killer Cell Mediated Cytotoxicity (GO:0042267)","2/24",0.00635854736076345,0.0546117172517183,0,0,18.4397031539889,93.2671948534304,"TUBB2A;TUBB4B","GO_Biological_Process_2023","blue"
"Negative Regulation Of Antigen Receptor-Mediated Signaling Pathway (GO:0050858)","2/24",0.00635854736076345,0.0546117172517183,0,0,18.4397031539889,93.2671948534304,"PRNP;THY1","GO_Biological_Process_2023","blue"
"Cell Morphogenesis Involved In Neuron Differentiation (GO:0048667)","3/77",0.0067890554235684,0.0573192485391713,0,0,8.28615213151296,41.3681460172482,"APLP2;MAP1B;NEFH","GO_Biological_Process_2023","blue"
"ATP Biosynthetic Process (GO:0006754)","2/25",0.00688907400282997,0.0573192485391713,0,0,17.6370896184561,87.7942327571282,"ATP5F1A;ATP5F1B","GO_Biological_Process_2023","blue"
"Regulation Of Lysosomal Lumen pH (GO:0035751)","2/25",0.00688907400282997,0.0573192485391713,0,0,17.6370896184561,87.7942327571282,"ATP6V1A;ATP6V0B","GO_Biological_Process_2023","blue"
"Positive Regulation Of Release Of Cytochrome C From Mitochondria (GO:0090200)","2/25",0.00688907400282997,0.0573192485391713,0,0,17.6370896184561,87.7942327571282,"MOAP1;PINK1","GO_Biological_Process_2023","blue"
"Negative Regulation Of Protein Modification Process (GO:0031400)","3/78",0.00703533563956652,0.0580824221406073,0,0,8.17525773195876,40.5231982940018,"PRNP;YWHAB;TERF2IP","GO_Biological_Process_2023","blue"
"Positive Regulation Of Catabolic Process (GO:0009896)","3/79",0.0072868662544486,0.0596962504691366,0,0,8.06728160607705,39.7045922046513,"NSF;HSP90AA1;VPS35","GO_Biological_Process_2023","blue"
"Regulation Of Microtubule Polymerization Or Depolymerization (GO:0031110)","2/27",0.00800810651058956,0.0631750624724287,0,0,16.2244897959184,78.3204947866311,"MAP1B;STMN2","GO_Biological_Process_2023","blue"
"Regulation Of Mitochondrial Fission (GO:0090140)","2/27",0.00800810651058956,0.0631750624724287,0,0,16.2244897959184,78.3204947866311,"PINK1;VPS35","GO_Biological_Process_2023","blue"
