"gene_name","module","color","kME_turquoise","kME_blue","kME_grey","kME_yellow","kME_brown"
"NRP2","turquoise","turquoise",0.0747581643219966,-0.0522110152365607,0.0172173162237978,-0.00441098856647938,-0.00522354207530611
"INO80D","grey","grey",0.0782401515839397,-0.0211326426979529,0.0109459781913713,0.0354023869303856,0.0587920055038013
"NDUFS1","blue","blue",-0.0503966059690422,0.304846220202925,-0.052455181441228,0.13542690717374,0.0701125297160017
"EEF1B2","blue","blue",-0.0262055526393201,0.17269073323786,-0.0688037654082001,0.151770332982071,0.0389773068359353
"ZDBF2","grey","grey",0.00778048173742603,0.0468114138707053,0.00831073711930081,0.0127726775328908,0.0509957757878056
"ADAM23","turquoise","turquoise",0.0237324113321478,-0.0406724491446776,0.0660858560310227,-0.0652559356398699,-0.0482830904140728
"FASTKD2","grey","grey",0.05180111277209,0.001660258915752,-0.0107843953894496,0.00691416718054658,-0.0306452632200879
"KLF7","turquoise","turquoise",0.0942469658467717,-0.0130402443742445,-0.0244005835810289,0.0194101129639749,0.0973607211681741
"CREB1","turquoise","turquoise",0.0940330207141807,-0.0620603127006437,-0.00734619061267718,-0.0236247441941678,-0.00915937587345608
"METTL21A","grey","grey",0.0246296420456368,0.0228507623750925,-0.00195493250406735,0.0531177974007186,0.0584404360022652
"CCNYL1","turquoise","turquoise",0.0821145900048036,-0.0941522622082003,0.0181915606369806,-0.0394743446722455,-0.0273121694734253
"PLEKHM3","grey","grey",0.054892955002135,0.0783113343269457,-0.0270768242098951,0.0346552740373549,0.115940729090521
"C2orf80","blue","blue",-0.0274545653011392,0.206742405676581,-0.0728099213940981,0.164880052578494,0.0261513940923346
"IDH1","grey","grey",0.0322028985990472,0.0445737619638531,-0.00306921218380559,0.0216752651753151,0.00838143088282391
"PIKFYVE","turquoise","turquoise",0.079741802081193,-0.0329786815957633,-0.00927152185496872,-0.00689632279269489,0.0375298515396954
"MAP2","turquoise","turquoise",0.0378116938490414,-0.078172730711399,0.0448192958085317,-0.0352297713211669,0.163520463737061
"UNC80","turquoise","turquoise",0.0528407208695982,-0.103754355226629,0.0662156663654321,-0.068323907540474,0.0684261245685765
"RPE","grey","grey",0.0506236705008442,-0.0124313312145862,-0.00133320620483351,0.000332079327077091,0.00612095576630998
"KANSL1L","turquoise","turquoise",0.167785928574264,-0.235312592635501,0.0761708333860669,-0.138063401673371,-0.0703221676405606
"AC007038.1","turquoise","turquoise",0.107462017895531,-0.103678194017942,0.0247351467226937,-0.0381228955801326,-0.032369900223418
"LANCL1-AS1","turquoise","turquoise",0.0716349497316219,-0.0430192565015934,-0.0177256081251242,-0.0253476690377935,-0.0167310287235532
"LANCL1","grey","grey",0.103077179793157,0.168140185101252,-0.154413003326256,0.0998907281692088,0.0882437896888097
"CPS1","turquoise","turquoise",0.130429490072941,-0.0453806103399791,-0.045566350194733,-0.00478141575301432,0.0141031493724746
"ERBB4","turquoise","turquoise",0.237271127805662,-0.362018461770352,0.110448702672858,-0.228420839639168,-0.10453810461397
"IKZF2","turquoise","turquoise",0.156304183335217,-0.091510456636347,0.00462342112344646,-0.0419859661019017,-0.0140254861404067
"SPAG16","turquoise","turquoise",0.100335591597494,-0.180685548216813,0.0594312933843423,-0.0968693060170019,-0.030586871505494
"VWC2L","turquoise","turquoise",0.0725291293191136,-0.179739672692176,0.0943584590213568,-0.105716599506272,-0.0426397197456837
"BARD1","grey","grey",0.0588749363404954,-0.0214588192308278,-0.0359892603511376,-0.00283970613486047,0.0135200400104969
"ATIC","grey","grey",-0.011719025532146,0.133122206576266,-0.0173418039886893,0.0805952392489012,0.0179910002080195
"FN1","grey","grey",0.0354162070181459,-0.0288371185981811,0.00494756970998642,0.00472857542158379,0.0035997602661749
"MREG","grey","grey",0.0391974101882722,-0.0469870766672278,0.0236945178715379,-0.0507323974570805,-0.0064164944766632
"PECR","turquoise","turquoise",0.0396537662356873,-0.0908808844403835,0.036664385699566,-0.0281462873775378,-0.0226796286243223
"TMEM169","grey","grey",0.0258059734466062,0.0250481287818569,-0.00579299768095084,0.00219023709201248,0.0296035182221568
"XRCC5","blue","blue",-0.0499752944287791,0.334806759693285,-0.0663535726891252,0.172135922475024,0.00045487373175059
"SMARCAL1","grey","grey",0.0648585277793741,-0.0272001556735382,-0.00357527979767324,-0.00784566877248385,-0.0212230979994849
"RPL37A","grey","grey",0.00712319149934295,0.0854727371751117,-0.0808559229138494,0.144743145420726,0.0623990171288826
"AC007563.2","grey","grey",0.0394324771408876,-0.0336807637355952,0.0431691202408218,-0.0198498144640094,-0.0157817910378186
"DIRC3","turquoise","turquoise",0.14773709674497,-0.32350011879958,0.144224682984313,-0.199717010495796,-0.125607521208847
"TNS1","turquoise","turquoise",0.0888379394235987,0.000455656315832742,0.0135628451025642,-0.017664333802016,0.00320460216083381
"ARPC2","blue","blue",-0.0246348163556306,0.174037078349725,-0.0552525759864984,0.145292704217359,0.0626346569487993
"AAMP","blue","blue",-0.0644261869327615,0.253392122873007,-0.0578075169699275,0.160416512426078,0.0491599770030541
"PNKD","blue","blue",-0.0328800089175171,0.190290621572375,-0.0400468099921234,0.139088611786649,0.0472379648143542
"TMBIM1","grey","grey",0.0345436951538157,-0.00398514285621836,-0.0378228543529322,0.0165306867893824,0.00941149222089917
"SLC11A1","grey","grey",0.0690244523793397,-0.0494008302349665,-0.0333765851090272,0.0045661641775835,0.0214007785591605
"CTDSP1","grey","grey",0.0754553942736402,-0.0215389074393216,-0.0549115057572264,0.00948861839876882,0.00893946219512219
"USP37","turquoise","turquoise",0.0825480194035789,-0.0963073200974531,0.0120679472241696,-0.058838068555073,-0.0132634914794108
"CNOT9","turquoise","turquoise",0.0405515723009098,-0.0233477402898495,0.0163415424963502,0.00212830362977051,0.00932978582841123
"ZNF142","grey","grey",0.00625729694233662,0.0138271977970522,0.00707540303889142,-0.0151035928309607,0.0227966654960305
"TTLL4","turquoise","turquoise",0.0546906387072908,-0.0654014588596689,0.0430390764342223,-0.0147577865794975,-0.0120969245362383
"CYP27A1","turquoise","turquoise",0.170007850364431,-0.0493823741973434,-0.0484667873750868,0.00693368089396264,-0.00107429664088267
"CDK5R2","blue","blue",-0.0921887600335871,0.296650633738138,-0.0387136239029056,0.15574869381875,0.115032336776438
"CNPPD1","grey","grey",0.00310700711987293,0.0694947293258182,-0.0559190399316048,0.0552280056520208,0.0378300232010807
"RETREG2","blue","blue",-0.0938862886717293,0.368168502348569,-0.0859690346488965,0.229882573672325,0.106145916767443
"ZFAND2B","grey","grey",-0.00767981911964672,0.0650461196771893,-0.0295616348658171,0.0629556855047356,0.0359133778210257
"ANKZF1","grey","grey",0.0521242193998004,-0.00843084418969288,0.000581360470071834,0.0054732566949942,-0.0425000035487121
"TUBA4A","blue","blue",-0.140239569906938,0.548622996975031,-0.127698207684025,0.293366177879678,0.0734937879416289
"DNAJB2","blue","blue",0.019093145392797,0.200440777181199,-0.0788126070350273,0.136775781499555,0.120823889322406
"PTPRN","blue","blue",-0.131708228305874,0.473318306610629,-0.0398529616393723,0.198549834719493,0.00907998982496667
"DNPEP","grey","grey",0.0342346726304041,0.0112000210277019,-0.0320495461750977,0.0409601251459676,0.026468360422691
"SPEG","turquoise","turquoise",0.016942505001171,-0.0475980155075628,0.0566388691807549,-0.0158541123537963,-0.00888422977459145
"CHPF","blue","blue",-0.0658300400985885,0.26007881368087,-0.046289926963874,0.127235396012253,0.0161216787141871
"OBSL1","blue","blue",-0.0512951129398813,0.157465971093959,-0.030284434229797,0.14104827210186,0.0465285033728574
"SLC4A3","blue","blue",-0.0656713494005038,0.255273845734712,-0.0338751189988867,0.144370377854966,0.0775047592784513
"EPHA4","grey","grey",0.00429129525399764,-0.00762893054904063,0.0327309530849441,-0.000204130907388458,0.018418045391392
"FARSB","grey","grey",-0.00539420201298838,0.157023629439476,-0.0266257577665837,0.0894057339114035,0.00898039209019009
"ACSL3","blue","blue",-0.0510802239149402,0.317564788260432,-0.0584668608453063,0.118328811358002,0.00478661618890153
"SCG2","blue","blue",-0.212143934125896,0.594787591880899,-0.115804967167843,0.253695984831364,0.0534736574249969
"WDFY1","grey","grey",0.0215904988412694,0.0566271016160472,-0.00893135734554026,0.0229579056901606,0.0395690643930047
"MRPL44","grey","grey",-0.0241950448032446,0.147725110770135,-0.0524689887156141,0.103088130999321,0.0406744875645215
"SERPINE2","grey","grey",-0.0250752278534344,0.147961247975281,0.0467799057231515,0.077314787023111,0.0407760973141945
"CUL3","blue","blue",0.0291849591786094,0.198955042811147,-0.0627985520189921,0.0962947372300405,-0.012225956607652
"DOCK10","turquoise","turquoise",0.389067095675765,-0.212749086443937,-0.0809350664702516,-0.096988916296799,-0.0466295060790702
"IRS1","grey","grey",0.0187750362497009,0.0289270362618509,0.0182379521225744,0.0224312273704175,0.0185483172889755
"RHBDD1","turquoise","turquoise",0.141620295159591,-0.165661462566303,0.0382140401327939,-0.0919249724326753,-0.0466550316478059
"COL4A4","turquoise","turquoise",0.03410172302213,-0.0566006915429179,0.0248308420576616,-0.0371517271853875,-0.00471431911167783
"COL4A3","turquoise","turquoise",0.0375445233325853,-0.089435094051287,0.0494431082857752,-0.0314848537754168,-0.038120981905377
"AC097662.1","turquoise","turquoise",0.0514350477213494,-0.104775819906397,0.0544589936205693,-0.0642916756630519,-0.0187783655276129
"MFF","grey","grey",0.0339098872945313,0.099588778329815,-0.0636556072149747,0.0885885042980747,0.0464514696738211
"AGFG1","grey","grey",0.0819042008046641,-0.0104431439288643,-0.0150020770226913,0.000559194198223271,-0.000705837120130211
"PID1","turquoise","turquoise",0.112759214852194,-0.18651656873916,0.100050615926392,-0.111237228856851,-0.0521869503845339
"DNER","blue","blue",-0.110550154302163,0.499248684032873,-0.0536711998007738,0.144842666321043,-0.0324095131815575
"TRIP12","grey","grey",0.0555776748602524,0.0885406398565377,-0.0399866117320616,0.045256433375725,0.0218773455858275
"FBXO36","turquoise","turquoise",0.0460615601389733,-0.0948814284044401,0.0535570094280452,-0.0496724078648949,-0.0188535266404098
"AC009950.1","turquoise","turquoise",0.0354503481441553,-0.0339567656764447,0.00932144610280801,-0.00378781452577604,-0.00586642292593566
"SP110","turquoise","turquoise",0.0970633145114825,-0.0272009188358325,-0.0300856264616572,0.0260736277473353,0.0118750081179712
"SP140","grey","grey",0.0467128197142544,-0.0498631808665452,-0.00443917335159097,-0.0124926086857746,-0.00566468162041564
"SP140L","grey","grey",0.0506930382361525,-0.0154972140408709,-0.0200676678579804,0.00474778062540514,-0.00970485916064943
"SP100","grey","grey",0.086887986987239,-0.03335248196546,-0.0431130207630873,0.00156156097193335,0.0114016953113837
"CAB39","blue","blue",-0.0249724167196671,0.216091146419822,-0.0372623464240981,0.125884442647823,0.0735647775010759
"ITM2C","blue","blue",-0.0992620175679633,0.320304385424104,-0.0694721769576654,0.212577510735908,0.0646183159333231
"C2orf72","grey","grey",0.0519966152131304,-0.0342195924719084,0.0562896642506687,-0.0161501104716464,0.010950353138409
"PSMD1","blue","blue",-0.0433359799816979,0.29142810803928,-0.0677511885601367,0.111761853836035,-0.00867131505958299
"ARMC9","grey","grey",-0.00707142407461143,0.0378633000078625,0.000556968930738583,0.105563539400577,0.0360991811245767
"NCL","blue","blue",-0.0754360237586205,0.35200175963844,-0.102942721216692,0.1823436765935,0.0133778366174287
"PTMA","blue","blue",0.00447677631132425,0.164534346987094,-0.159572480545642,0.19892176840194,0.151000552471744
"PDE6D","grey","grey",0.042586254887987,-0.00626558762399923,0.00485389041905611,0.0103807197175876,0.0108610142580854
"COPS7B","grey","grey",0.0391820834844361,-0.00379783566424286,0.00767521010134689,0.0180236844501711,0.0170827371230804
