"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes","db","module"
"Positive Regulation Of Ossification (GO:0045778)","2/41",0.0178804597481127,0.162041666467272,0,0,10.3929879644165,41.8218699251635,"NELL1;MEF2C","GO_Biological_Process_2023","pink"
"Branching Morphogenesis Of An Epithelial Tube (GO:0048754)","2/42",0.0187140554000923,0.16517188027038,0,0,10.1326530612245,40.3125617234172,"NELL1;SLIT2","GO_Biological_Process_2023","pink"
"Cardiac Ventricle Morphogenesis (GO:0003208)","2/42",0.0187140554000923,0.16517188027038,0,0,10.1326530612245,40.3125617234172,"TGFBR3;MEF2C","GO_Biological_Process_2023","pink"
"Regulation Of Axonogenesis (GO:0050770)","2/42",0.0187140554000923,0.16517188027038,0,0,10.1326530612245,40.3125617234172,"SLIT2;LRRC4C","GO_Biological_Process_2023","pink"
"Regulation Of Filopodium Assembly (GO:0051489)","2/43",0.0195637897091909,0.165982097411304,0,0,9.88501742160279,38.888398778374,"TENM1;NELL1","GO_Biological_Process_2023","pink"
"Positive Regulation Of Biomineral Tissue Development (GO:0070169)","2/43",0.0195637897091909,0.165982097411304,0,0,9.88501742160279,38.888398778374,"NELL1;MEF2C","GO_Biological_Process_2023","pink"
"Intracellular Glucose Homeostasis (GO:0001678)","2/43",0.0195637897091909,0.165982097411304,0,0,9.88501742160279,38.888398778374,"UNC13B;ZBTB20","GO_Biological_Process_2023","pink"
"Positive Regulation Of MAPK Cascade (GO:0043410)","5/310",0.0197539144630945,0.165982097411304,0,0,3.38136324417601,13.2698341107067,"TENM1;NELL1;MEF2C;ERBB4;DOK6","GO_Biological_Process_2023","pink"
"Regulation Of Transport (GO:0051049)","2/44",0.0204294838615153,0.165982097411304,0,0,9.6491739552964,37.5427757402553,"NELL1;SNCA","GO_Biological_Process_2023","pink"
"Positive Regulation Of Osteoblast Differentiation (GO:0045669)","2/44",0.0204294838615153,0.165982097411304,0,0,9.6491739552964,37.5427757402553,"NELL1;MEF2C","GO_Biological_Process_2023","pink"
"Positive Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071902)","3/117",0.0209289640116766,0.165982097411304,0,0,5.36787845903418,20.7555528715947,"TENM1;MEF2C;SNCA","GO_Biological_Process_2023","pink"
"Response To Glucose (GO:0009749)","2/46",0.0222080432575084,0.165982097411304,0,0,9.20964749536178,35.0638977870873,"UNC13B;ZBTB20","GO_Biological_Process_2023","pink"
"Modulation Of Chemical Synaptic Transmission (GO:0050804)","3/123",0.0238342004694833,0.165982097411304,0,0,5.0979381443299,19.0491276504594,"LGI1;MEF2C;LRRC4C","GO_Biological_Process_2023","pink"
"Chloride Transmembrane Transport (GO:1902476)","2/48",0.0240483300532172,0.165982097411304,0,0,8.80834072759539,32.8347611919466,"GABRB2;GABRG2","GO_Biological_Process_2023","pink"
"Positive Regulation Of Defense Response (GO:0031349)","3/124",0.0243385983169026,0.165982097411304,0,0,5.05555082218625,18.7848686370022,"MEF2C;NAPEPLD;SNCA","GO_Biological_Process_2023","pink"
"C-terminal Protein Deglutamylation (GO:0035609)","1/5",0.0247535287182936,0.165982097411304,0,0,50.2424242424242,185.836036973753,"AGBL4","GO_Biological_Process_2023","pink"
"Negative Regulation Of Lamellipodium Organization (GO:1902744)","1/5",0.0247535287182936,0.165982097411304,0,0,50.2424242424242,185.836036973753,"SLIT2","GO_Biological_Process_2023","pink"
"Regulation Of Fat Cell Proliferation (GO:0070344)","1/5",0.0247535287182936,0.165982097411304,0,0,50.2424242424242,185.836036973753,"PID1","GO_Biological_Process_2023","pink"
"Negative Regulation Of Monocyte Chemotaxis (GO:0090027)","1/5",0.0247535287182936,0.165982097411304,0,0,50.2424242424242,185.836036973753,"SLIT2","GO_Biological_Process_2023","pink"
"Regulation Of Macrophage Apoptotic Process (GO:2000109)","1/5",0.0247535287182936,0.165982097411304,0,0,50.2424242424242,185.836036973753,"MEF2C","GO_Biological_Process_2023","pink"
"Nephron Tubule Development (GO:0072080)","1/5",0.0247535287182936,0.165982097411304,0,0,50.2424242424242,185.836036973753,"MEF2C","GO_Biological_Process_2023","pink"
"Blood Vessel Endothelial Cell Proliferation Involved In Sprouting Angiogenesis (GO:0002043)","1/5",0.0247535287182936,0.165982097411304,0,0,50.2424242424242,185.836036973753,"SEMA5A","GO_Biological_Process_2023","pink"
"Pericardium Morphogenesis (GO:0003344)","1/5",0.0247535287182936,0.165982097411304,0,0,50.2424242424242,185.836036973753,"FLRT3","GO_Biological_Process_2023","pink"
