"gene_name","module","color","kME_purple","kME_grey","kME_green","kME_greenyellow","kME_black","kME_blue","kME_yellow","kME_turquoise","kME_tan","kME_brown","kME_magenta","kME_red","kME_pink"
"Zfp251","black","black",-0.00260924629241803,-0.00776450460455597,0.0797759004056991,-0.0196271825794555,0.106215129793226,-0.012612553691662,-0.0180857181447667,-0.0167253215576883,0.0444215562473953,-0.046329671462994,0.0251806775717388,-0.0366394367137589,-0.0223644231724114
"AC157554.2","grey","grey",0.0287531772159293,0.00814590419954079,0.0181237128555895,0.0175461388535836,0.00227966878767737,0.0518520464352129,-0.0372695159061341,-0.0224130018220743,0.047367140280339,-0.0222340763394247,-0.0228378266376532,0.0261641945602607,0.0070270603545817
"Rpl8","brown","brown",-0.0318932195630801,-0.0084974191520578,-0.0931422268339617,0.0193656510962312,-0.087977620944772,-0.0690499937713889,0.0229576221331168,0.0321527358819049,-0.107375963291347,0.429860590305239,-0.0613020853913606,-0.0179038502203355,-0.0216889215219247
"1110038F14Rik","grey","grey",-0.0479472997706556,0.00823666265554022,-0.0012021912152484,-0.0513472967309563,-0.0203307264370831,0.00806076054821847,0.0249061817752905,-0.016128091903369,0.00650419003678551,0.028465798335026,0.0301370103733887,-0.00605764084902344,0.0329705281379304
"Rbfox2","grey","grey",-0.0250896115625502,0.118095586905095,0.0626971255398236,0.0316726962779041,0.191072061625046,-0.0773648622594649,0.0986565182088634,0.113412840258044,-0.0496701606183398,-0.0898252722721393,0.123041117701435,0.00778809993144481,0.00642070064507906
"1700109K24Rik","grey","grey",-0.0350491294519892,0.0545422609413273,0.0758139669332231,-0.0371058410583229,0.0808950423643094,0.0038437687969267,0.0328343369789345,-0.0022609751858179,0.032004338584026,-0.0345293541295717,0.0798256441314215,-0.00202354555337031,0.0372355773856377
"Myh9","green","green",-0.0523468855176132,-0.095548009111636,0.235526409547362,-0.113251202332747,0.0977677410053667,0.0318758394350352,-0.088241471245791,-0.151661536722588,0.158324622689106,-0.0604373040559315,0.0824855904574973,-0.122873131953176,-0.0418497209483383
"Txn2","grey","grey",-0.0597576029177547,0.00198203160611279,-0.0241118699683138,-0.0595946857346778,-0.0452954113905298,0.00477049690455159,0.0511806930658194,-0.0217166653170218,-0.0155829725878333,0.0792519365865927,0.0438337153664461,-0.0152925565061666,0.0561962489969264
"Foxred2","grey","grey",-0.0166549297683444,0.0278247054389126,-0.023541078685939,0.0027346221609504,-0.00236307920772374,-0.0223316101309984,0.0311705019164295,0.0320181575398217,-0.0381160261459602,0.0113279497791435,-0.00610474186653576,0.017026833030174,0.00585700319999972
"Eif3d","grey","grey",-0.0059045459747679,0.03870418917749,-0.0281028149405315,-0.00336682241647998,-0.0246128341969873,0.0138634178480644,0.027848891987309,0.0260642376393414,-0.0183054543213431,0.0800443493449361,0.0227215616324572,0.0292023407421643,0.0397404835402738
"Cacng2","grey","grey",0.0603777466423682,0.173755497305632,-0.100024499160622,0.0464945595393261,-0.0055057277404929,0.0624201251629968,0.0925580309731687,0.120393510394295,-0.0352792535632078,0.0323473230206072,0.0381076089973383,0.141027681889176,0.121498633824503
"A730060N03Rik","grey","grey",0.0178334342323192,0.0810948046692874,-0.0352269487338982,-0.00162118169669595,-0.0158283181933269,0.0649460960726499,0.0320907338309811,0.0250115259838459,0.016506673620843,-0.00193537410296641,0.021465362673829,0.0706143815613229,0.0645414608476212
"Ift27","grey","grey",0.0051216670582628,0.0224925364287056,-0.0148355573461165,0.0217300046278434,0.00249128188170983,-0.011729675874318,0.0117016075017489,0.0255942817855699,-0.0257750256384553,0.0455666334834708,-0.0175033584797469,0.0178946448366046,-0.00158174027651047
"Pvalb","brown","brown",-0.0205687399193295,0.00695926070605392,-0.0506423474463219,-0.00591938968837019,-0.0709005504714347,-0.000680159847084849,0.0273021685839756,0.00318759753551065,-0.0351653723978609,0.123731569774973,-0.014059599319515,0.0238291681338069,0.0225988274175193
"Kctd17","grey","grey",-0.0217236332238385,0.0155945502256644,-0.0103255995041574,-0.0303630754262185,-0.0737358232280711,0.0546356233559625,0.0184155224911109,-0.0448806332613952,0.0350233803320396,0.0841115319200055,0.0174917002426344,0.0263832535001139,0.0643326036478182
