"gene_name","module","color","kME_red","kME_brown","kME_blue","kME_grey","kME_yellow","kME_black","kME_turquoise","kME_pink","kME_green","kME_magenta"
"Lman2l","grey","grey",-0.0361585890916412,-0.0628298446763264,-0.0514242581557225,0.0419513359082915,0.0786179811577437,0.105604954262487,0.0366813063370328,-0.0146097773110138,-0.0137684790860277,-0.0148930289183923
"Cnnm4","yellow","yellow",-0.0383332266720048,-0.0102085247427269,-0.0467636494097495,-0.0719015793074486,0.122930766048696,0.0738148871185821,-0.067106766095999,0.0913272911359903,-0.0916023329013163,0.0456479681073546
"Cnnm3","grey","grey",0.0625336890741684,0.0306072801851417,0.00966960958581348,0.070751582649283,-0.0670315628880698,-0.0286545555848713,0.0289132388733369,-0.0116027852862887,0.0774456903053735,0.0493665179187916
"Ankrd39","grey","grey",0.0142517289647917,-0.0453210604748944,-0.030329661879812,0.0668203238090266,-0.0317136104640114,0.0639151964979954,0.0901613799189251,-0.0595704280309666,0.044919964160393,-0.0210966581061176
"Sema4c","grey","grey",0.00575839502297441,0.0045919528995632,0.03215251345926,0.0455785862563098,-0.046326793887475,-0.00410365415123358,0.0383065942215627,-0.0263006166089186,0.0399973231603513,0.0120341980542854
"Cox5b","blue","blue",-0.00638130390798644,0.032621485831321,0.324027260045251,-0.00178374864116312,-0.0987969703164765,-0.124063137466069,-0.0158264452178866,-0.0431563143947637,0.0322766722703312,-0.0427410918315267
"Actr1b","grey","grey",0.0129191185947141,0.067044864185315,0.0622938127220272,0.136180430673985,-0.0014013942423667,0.0134741148352549,0.0238872554741905,0.0277482551826276,0.108899875313359,-0.0412308377557479
"4933424G06Rik","turquoise","turquoise",0.0104173574066593,-0.0720632182176955,-0.00568402320308668,0.11216604415381,-0.0678916480583952,0.0625170665470922,0.154349308595948,-0.118600365416536,0.0808455565034899,-0.00323711123837802
"Gm33533","grey","grey",0.0594991895427843,-0.0443681360450867,0.0237012595205163,0.125320992851642,-0.140497362556882,0.0315468593103001,0.164985333155974,-0.129548918609802,0.135479376633817,-0.00167706273751984
"Tmem131","turquoise","turquoise",-0.0462822729013091,-0.0560112718874153,-0.0112571860994099,0.148365382349705,-0.0929098290462012,0.0776348452318118,0.178464590904543,-0.126578168611067,0.129524279713918,-0.0607542542025822
"Inpp4a","turquoise","turquoise",-0.0188663593986084,-0.0794370192835938,0.0142189770670035,0.287197689878135,-0.232415376369157,0.0797731423237359,0.340923741667892,-0.273495762787035,0.2763955555873,-0.117639525663237
"Coa5","grey","grey",0.0162182520444537,-0.00840598060868663,0.0421450688353678,0.0555049917709334,-0.0597863663558111,0.00443035304610036,0.0632358240809493,-0.0541615274997272,0.059915692881339,0.00174110139857376
"Unc50","blue","blue",0.0249592862550726,-0.000709285352989098,0.0871918098807271,0.0581389575461096,-0.0389426169701923,-0.00970319619616194,0.0271623741885039,-0.0347131372238055,0.0433367116349215,0.00214360039529375
"Mgat4a","grey","grey",0.14499288945602,0.146741598559306,0.0347506573883481,0.0928081429889024,-0.0383323924954969,-0.079226665549014,-0.0501812950766947,0.0915803411612684,0.100976342347388,0.134818053180534
