"gene_name","module","color","kME_pink","kME_grey","kME_black","kME_magenta","kME_turquoise","kME_green","kME_blue","kME_brown","kME_yellow","kME_purple","kME_salmon","kME_red","kME_greenyellow","kME_tan"
"Rpl7","brown","brown",-0.0537749470827604,-0.0749505425046166,-0.019751864654013,-0.0672749512606487,-0.00758375137515355,-0.0352750463067187,-0.0267006645265871,0.291305234156604,0.18227034627123,-0.0355766650316496,0.0117434649067629,0.0232942216871023,0.000190992184954621,-0.0350112668383777
"Rdh10","grey","grey",0.0122389735148206,0.0699712207865935,0.0199793961937954,0.0186514888675065,0.000575754984384966,0.0136046085908464,0.0256706632226135,-0.0080110648899695,0.000844311152620791,0.0288264611670285,0.00281318380293322,-0.0100869105948392,-0.00231053721186161,-0.0054412582604468
"Stau2","blue","blue",0.0648714290377305,0.254297389527245,0.0633691541046921,0.067451771072343,-0.0405445746435022,0.0275052352292736,0.173047768296053,-0.0998582348749846,0.00192942220391184,0.132369951122592,0.0531582096319779,0.002022627191311,0.0358243390588712,-0.0208645726930656
"Gm7568","grey","grey",0.00251756259041083,0.054516686439523,0.0327095370210653,0.0172408030174305,0.0273361537895577,0.0282470831403491,0.00187822921400233,-0.00295710555719989,-0.0225274241197728,0.0215477895304654,0.0135910307228503,0.00566630960173136,0.0262856550015087,0.00955898906828463
"Ube2w","grey","grey",0.0659787918065482,0.173362764694734,0.0527401702132357,0.0687829986957124,-0.00173258026289377,0.0556978430388264,0.0910069757612498,-0.0766007978497523,0.00121236381897661,0.0851002078978086,0.0107146999162207,0.000573805875903996,0.0332606781946298,0.0189216267750531
"Eloc","yellow","yellow",0.00493677704351507,0.0124110896759458,-0.0368891812982816,-0.0393114558436313,-0.0211950815535502,-0.0182459672638402,0.0303900631698838,0.13474031292023,0.131536445688068,-0.0171066716011112,-0.0119192288513045,0.0185125535289827,-0.0270770799760298,0.0132807279511812
"Tmem70","grey","grey",0.0087235364045889,0.0383548290536237,-0.0280796627243574,-0.026827346753721,-0.00483526542504453,-0.0238526539662366,0.0299425170527102,0.0208731652554179,0.0302144905573773,-0.0192154928960333,0.00825712408479131,0.00906460191042729,-0.0217690208244786,-0.00326930874922919
"Gm28376","black","black",-0.216046341543642,0.0268260430366746,0.226950412743373,0.00754961036433705,0.0405375614770164,-0.111436462115488,-0.0449054402488046,-0.011343494862227,-0.0598746430067058,0.118028643947362,0.264908000218726,0.00849643737952017,0.19014524718093,-0.23009585817657
"Jph1","black","black",-0.1788704036946,0.0428785763673196,0.213782415804325,0.0171674064866337,0.0164703813830952,-0.0926581934282776,-0.0134808577471854,-0.0365177104198065,-0.0656973334067081,0.136669569524621,0.225000944457637,0.000128583307999737,0.165780876052531,-0.210509196182158
"Gdap1","grey","grey",0.0188955693960886,0.0637421574406129,-0.0139992826303443,-0.00355538930290768,0.00857788825190257,0.00199984242257095,0.0278182691853323,0.0356252859936735,0.0531657539782478,-0.0101010822630365,-0.0153041968618115,-0.00929049791301611,-0.0250197628595423,0.0173922995335576
"Gm28154","magenta","magenta",0.0296545477899732,0.0483264492967646,0.163190326134174,0.190545187037044,-0.0809822317927695,0.0658644996544926,0.078335528801436,-0.0455817562217867,0.00420167371910233,0.214366925099125,-0.02303638433031,-0.126506730807837,0.0705581619057006,-0.11267330313805
"Gm16070","purple","purple",0.0995764404578696,0.132730127573599,0.314559198466801,0.353651720017636,-0.115586433492047,0.133045255621877,0.144479386746852,-0.0948898478455941,-0.0326324302478766,0.395727629834437,-0.0510585466870117,-0.23296194410163,0.136383992270097,-0.177914300801308
"Crispld1","magenta","magenta",0.0374136181409097,0.0253853900939266,0.161579869235938,0.197619257484831,-0.0469137820973752,0.0765666722719798,0.0372047946049729,-0.0158603067977369,0.0142501777576194,0.18002585728562,-0.0335206453656619,-0.134021784844156,0.0596180061371173,-0.0918022694245646
"Gm28153","turquoise","turquoise",-0.0517592508720058,0.000750235075568001,0.216900447627,0.211559459279941,0.077539138500112,0.0842307397918241,-0.066644678442137,0.0571365625326565,-0.0114883750839034,0.153777117085191,-0.0482168144363049,-0.13118798311996,0.124836839148721,-0.104742225360754
