"gene_name","module","color","kME_yellow","kME_grey","kME_turquoise","kME_blue","kME_red","kME_black","kME_green","kME_brown","kME_pink"
"Mgat4a","turquoise","turquoise",0.0607766303048259,-0.0348409298298156,0.156446164742159,-0.159485213037777,0.0518216647756533,0.123314576286237,0.0758785740513466,-0.0308997560093276,0.0471850426114008
"2010300C02Rik","turquoise","turquoise",0.0235613626110724,-0.104863680695791,0.228377843418299,-0.189616682668937,-0.0482278931692172,0.16939860426503,0.147793651616098,0.00872478491580128,-0.0420648633684045
"Tsga10","grey","grey",0.0800800175352285,0.0902578501216959,0.0323892644772591,0.00563430382396675,-0.027571139317897,-0.0106955393887925,-0.00196470864963779,-0.00252256747364228,0.0305713645951481
"Mitd1","turquoise","turquoise",0.0708097501487678,-0.0459700925918835,0.13014826507474,-0.111587126593733,-0.00632044266409249,0.0454598256346021,0.0572191963492315,-0.0276038154454538,0.000839134039159377
"Mrpl30","grey","grey",0.000968762352976944,0.0118629706126233,-0.00911587481721237,0.0035516995957748,0.00527440974024505,-0.0074808269619424,-0.00760198874176098,0.0041736874215512,0.00139023839070408
"Gm15457","grey","grey",0.0642855597274882,0.00445856722285259,0.042855489009333,-0.01139617393796,-0.047696928386892,-0.00128326681394631,0.00130301835991957,-0.0427562116168014,-0.0120661961068108
"Txndc9","grey","grey",0.00986162562871627,0.0444306908935831,-0.0468223810004546,0.0541303597632162,0.0146781647518564,0.000673163081009723,-0.0535694859263885,-0.00530610450912248,-0.0449910614589882
"Eif5b","grey","grey",-0.0153590066347936,0.0354916775099764,-0.0336401512243713,0.0580905189284241,0.00534105439248475,-0.0168217075333001,-0.00535982293137401,0.0643463609933752,-0.0180510584684967
"Rev1","grey","grey",0.124772935218223,0.0279627081454388,0.0948219901498411,-0.0572024528561273,-0.0116391436115968,0.0374900031694711,0.02459355274035,-0.0300593479135057,0.0244045886848577
"Aff3","turquoise","turquoise",0.126672225359006,-0.196486803480968,0.438796940801983,-0.382812814878568,-0.0286865384499515,0.211178501029147,0.247698267245882,-0.0524291042641468,0.0449639594782754
"Lonrf2","blue","blue",0.0132020330367165,0.126185393904129,-0.110252427764503,0.130909220097505,0.0638123256532924,-0.00448413134730972,-0.0802510520868414,0.021461021397408,-0.0322924371558797
"Chst10","turquoise","turquoise",0.00605811407181898,-0.128077181413277,0.185505217047003,-0.168882920335997,-0.0270025191967862,0.0352844421539913,0.174658647838742,0.03153110174263,0.0380367522406029
"Pdcl3","grey","grey",0.0707483391227622,0.0604415588661898,0.0218576105514079,0.00771033915512676,0.0135658877649313,0.0130981676307498,0.00258998318092345,0.00297377426371933,-0.0131241523565876
"Npas2","grey","grey",-0.074450882382397,0.00671992723927605,-0.106282278490977,0.15908221393243,-0.206664485005798,-0.168762285849672,0.0203189809009837,0.137379299206391,-0.10936135808709
"Rpl31","grey","grey",0.0158386087575159,0.0478482076496614,-0.0159027978756795,0.0328925024597089,-0.0185875939095107,-0.0126797566449063,-0.0338420757456623,-0.00903332921699599,-0.0155991356317276
"Tbc1d8","grey","grey",0.0180769959955478,-0.0450270534276418,0.132515020359885,-0.113596757885306,0.0351643447576047,0.12490308140484,0.110877718785924,0.0320999217934371,-0.0535362830803634
"Cnot11","grey","grey",0.0232375558311423,0.0565355405615528,-0.0292246669403553,0.0359169564168908,0.0199646026080729,0.0124405265595797,-0.0256468075486344,0.00057306499762343,0.000484303866209348
"Rnf149","grey","grey",0.0396218697580471,0.0855934686162488,-0.0486773354820639,0.0792418551638133,-0.0023296628228439,-0.0190832025520213,-0.03501983362303,0.00768862821755283,-0.0400776925719717
