"gene_name","module","color","kME_brown","kME_grey","kME_turquoise","kME_black","kME_magenta","kME_green","kME_cyan","kME_blue","kME_pink","kME_purple","kME_greenyellow","kME_yellow","kME_tan","kME_salmon","kME_red","kME_midnightblue"
"Sbspon","grey","grey",0.0328839364186814,0.0312126141736089,-0.00537037385521219,0.0279222605661834,-0.016410686920364,0.00404015666863714,-0.0142938103673981,0.0408444755524523,0.00432977767984379,0.0439410896975093,-0.0195335921513849,-0.0402766670732621,0.0132548165017089,0.026840087141804,-0.0177578812588027,0.00134805200942613
"4930444P10Rik","grey","grey",0.100066357001005,0.11233030165681,-0.0183023520961866,0.0974318812024735,0.0294506056259802,0.0629484667889152,-0.0267482185957323,0.095318023259861,0.0246145604312102,0.118594097060461,-0.0109601654979747,-0.0502945975192191,0.0622739472973031,0.0554168990698298,-0.0558669936403605,-0.00793780690747688
"Rpl7","turquoise","turquoise",-8.05288446853133e-05,-0.0977572768118487,0.339817752277974,-0.0351023661593123,-0.0516690511948615,-0.0174735846209525,-0.0696186296664859,-0.0699822785353327,0.159116568607698,-0.0553981697438648,-0.0559303424630897,-0.0207901757769702,-0.0660729460278387,-0.08979182375308,-0.00741553442093364,-0.0398981538197719
"Rdh10","grey","grey",0.0703148734184437,0.0749724658579442,-0.0359650632948511,0.0462195405759187,-0.00805657176429869,0.0283845679521249,0.016374209063697,0.0476138486539458,0.023139732985425,0.0302667760123413,0.00734202711577156,0.0310528487461925,-0.000580902086557157,0.0113257767255364,0.0202977269779998,0.0164308290705672
"Stau2","purple","purple",0.12004524978308,0.26763993583911,-0.0742067839084478,0.202752858054197,0.0834573043540254,0.0337760243012225,0.0311025045542845,0.219410765498049,0.01516271331079,0.274027444532756,-0.0261180160935605,-0.153831884046016,0.168215169132831,0.205972841554554,-0.0793774570237254,0.0876353838431726
"Gm7568","grey","grey",0.012713210634919,0.035262250081826,-0.00732830594150253,0.0299505603582247,0.0610871487802109,0.00441488324111729,-0.00118612959153755,0.0103724907649985,0.00459179723757396,0.0252581386679004,0.00215920945223012,-0.00894400917019116,0.0513725084870837,0.0576784018345263,-0.0314226003106842,3.96079253193901e-05
"Ube2w","grey","grey",0.13517949757194,0.177729621919024,-0.0705946090571386,0.118967638662616,0.0545570846578955,0.099932881021861,0.0303104739165126,0.100786282956316,0.0186832655470142,0.135681710310627,0.0210462639301404,-0.0272514351378204,0.0805127272463,0.0935158580178795,-0.00340749479107367,-0.00735697241033335
"Eloc","turquoise","turquoise",0.0666917873858418,0.0337603453526302,0.113750134979812,0.0337930951516118,-0.0242473256337128,0.0119356454816586,-0.0459293522982618,0.0398790687208872,0.0861257115886472,0.026851010507656,-0.0271056223483228,-0.0147856200614708,-0.00493982586906202,-0.0213477837275816,-0.00636945966623099,0.014270643068201
"Tmem70","grey","grey",0.0183714123970603,0.0488922547491637,-0.0036645706140799,0.0458344440464694,0.0403437370053606,0.029714132973193,0.0134517400730872,0.0279903883682743,0.00254918398518503,0.0429369819999649,0.00164474820007924,-0.0183140778862753,0.0326585368253679,0.0321307062482338,-0.0183764638731262,0.0109861904441783
"Ly96","yellow","yellow",-0.0291177506674467,-0.0905081823370089,-0.0251765692846085,-0.098837809215088,-0.0959904664257417,-0.019633320241521,-0.00937144073066653,-0.0720373538213557,-0.0175559389869573,-0.135605002950676,-0.0220584149680117,0.250694816344716,-0.11660077863373,-0.131566929050027,0.0654052194448337,-0.0116354279703512
"Gm28376","magenta","magenta",-0.16428407323842,0.0932054121853486,0.0482810512676285,0.0572977317975221,0.356620876507565,-0.062977331966461,0.109162278676137,-0.0883698889762459,-0.0715844442444448,0.0419072953426068,0.170397678943926,-0.0614231219378709,0.270449292584015,0.222537191896133,-0.0412018971460732,-0.0616803712883339
"Jph1","magenta","magenta",-0.165294852584798,0.0550744502653514,0.0249197045649104,0.0130742877540547,0.277005150559594,-0.0708067598398744,0.107305737048659,-0.0841805504864889,-0.0727291556752989,0.0100438469219446,0.157749709710237,-0.0330334361023129,0.186889713906245,0.186777884702882,0.00364708846365544,-0.0116132467431195
"Gdap1","grey","grey",0.0650496251022885,0.0846509088765577,0.0184493114152618,0.039460541896108,-0.00495193213738308,0.0136886590380269,0.00329647967641471,0.0924581059479109,0.0331624263001199,0.0609445757966022,-0.0318965007690243,0.0115273021143863,0.0138817642606561,0.0214163003639735,-0.0105103032291514,0.047961852541805
"Gm28154","tan","tan",0.0418968783445126,0.0844578700242457,-0.0203293591236347,0.105965064241332,0.164343319504624,0.0797248368339256,-0.0440185547313269,0.0131117167362121,0.0124182580094813,0.126685974479946,0.0348960238282556,-0.06527989348699,0.186576938598007,0.0785863721349335,-0.0934383273749383,-0.0798967420648846
"Gm16070","tan","tan",0.0336629256175296,0.204787768761344,0.000797735345519246,0.231639252252428,0.344875954387775,0.134077572832886,0.0267024733810045,0.0523249492349869,-0.007321757684146,0.255581713394834,0.0888082386351754,-0.122250642221266,0.411073722524223,0.250466802026098,-0.169226081318822,-0.134419191049219
"Crispld1","grey","grey",-0.00717852529319943,0.0591737485897834,0.00381774879851457,0.0759476093291709,0.162770560600004,0.0920267021132866,0.0284917689287154,-0.0324318341198571,-0.0271519078334778,0.0658508420309731,0.0616644794057895,-0.0274730806530658,0.137465402885413,0.0540664733286039,-0.0624484576617107,-0.0674084130854818
"Gm28153","magenta","magenta",-0.0447701340589333,0.101383175039837,0.057052268242981,0.117931719383552,0.277646593785624,0.0981922173585592,0.0360994430147016,-0.0672208697266373,-0.0384487470665144,0.103920585737083,0.105828775814893,-0.134851356197973,0.217371885664262,0.120862129034935,-0.0777440769373721,-0.103749635111999
"Pkhd1","grey","grey",0.0341233323874632,0.0564067236321931,-0.0231502238845158,0.0560786584343012,0.0352354290968274,0.0657445582248579,0.0230814402334675,-0.00395921959043639,-0.00365904284409692,0.057535460460042,0.0659904772407762,-0.0362283907475878,0.0293081224335168,0.0470156032695321,0.041585879654052,0.00348084956649006
"Paqr8","grey","grey",0.098492013815392,0.0267591011838002,0.0243267306071003,0.0400841051557511,-0.00989602583858021,0.0830250374371014,-0.0215398469535572,0.00400999475805788,0.0306351378989246,0.0375135732720096,-0.00822455504805419,-0.0131823617428153,-0.0238295610789404,-0.0628251794723993,-0.00464632087783988,-0.00796994492358348
"Tmem14a","grey","grey",-0.000596841622249023,0.0166527436862262,0.0781717214747297,0.0058351046891218,-0.0130719837686882,-0.0120710699848591,0.0320613154269415,0.0262588896086545,0.0552950389499607,-0.0103548615926827,-0.0104464823274959,-0.0533980432874656,-0.0116714261368972,0.0135875832721706,-0.00197733457629533,0.0683302116789089
