"gene_name","module","color","kME_blue","kME_grey","kME_brown","kME_turquoise","kME_green","kME_black","kME_yellow","kME_red"
"Gsta3","blue","blue",0.0579786005366546,0.0410155741933151,0.0039053574189399,-0.0370800631081655,0.0518115006033643,0.00261689509719025,-0.0133293757814864,0.00443389566338915
"Kcnq5","turquoise","turquoise",-0.0570256235444702,-0.00510909632685382,0.000487393065831005,0.0957561045572702,0.250957848612214,0.316314896021392,-0.0719523615905568,0.0394768830430412
"Rims1","blue","blue",0.633146804360888,0.353931674516026,-0.107593958910328,-0.43197937331278,-0.0491617963778677,0.0364824700783902,-0.17249108382873,0.453422407103854
"Ogfrl1","turquoise","turquoise",-0.148492696346139,-1.60392181366049e-05,0.0761810140165601,0.173777487148403,-0.084759820737399,-0.0493975955542278,0.0106247613415723,-0.068556064578219
"B3gat2","turquoise","turquoise",0.0114076141255697,0.0529433540661028,-0.0205835306251067,0.040126710924632,0.061724751295077,0.0584513100595953,-0.0189605678714112,0.0278357408714103
"Smap1","turquoise","turquoise",0.0597555662532582,0.141023465457086,0.00461158600430279,0.043791224385444,-0.00650093992278109,-0.0263709685838363,-0.0314477056697556,-0.00332861197835479
"Sdhaf4","turquoise","turquoise",-0.0123091136765827,0.00646828120264386,0.121731467786191,0.0203106652490948,-0.00177317866292716,-0.00582716632743719,-0.032370754609297,-0.00103381369969918
"Fam135a","turquoise","turquoise",0.0532031508363765,0.11627431877924,-0.0630207814381372,0.0436905157447851,0.0664906213308077,0.0473087497096052,-0.0496602290664972,0.0264143969242274
"Lmbrd1","turquoise","turquoise",-0.046201908436586,0.0213845418982102,-0.0486583595687736,0.0548118600742126,-0.0465236476085405,0.00202526314812245,0.125040531996133,-0.0022493326526635
"Adgrb3","red","red",0.277536301498353,0.318657236732535,-0.0962209961784074,0.0544296920563301,-0.130314013368178,0.0109565902914399,-0.414884409656497,0.534485463383096
"Phf3","turquoise","turquoise",-0.0649304304012446,0.0276673602934753,-0.0424839929017504,0.107550796329632,0.00465907310989917,0.0212378195110477,0.0213638752645234,-0.00706800385234258
"Ptp4a1","turquoise","turquoise",-0.0916752401672672,-0.0337216450229786,-0.0228543445281549,0.0843639701068003,-0.0353039367094806,-0.0138708252259718,0.0605272831208404,-0.0567779932702869
"Khdrbs2","black","black",0.137651709474969,0.117396442290464,-0.0671824604643128,-0.0214248308238705,0.262698002955659,0.374351820935747,-0.138442161859301,0.145650146536491
"Prim2","grey","grey",0.0639411084770193,0.047341313861477,-0.0390061869032414,-0.0500521505740869,0.0212824869364173,0.0531916326889019,0.0227624144176728,0.0418516142130478
"Rab23","grey","grey",0.0574468432357825,0.0637219445433443,-0.00892695446677833,-0.0247765270580232,0.0126759694350496,0.02083735597354,-0.0210573071220916,0.0178320516612847
"Bag2","blue","blue",0.0874147973435568,0.0603383082664091,0.0296041190781375,-0.0595948812001282,-0.000975229725865014,-0.0229893991856981,-0.0199510505311751,-0.0107628594136559
"Zfp451","turquoise","turquoise",-0.00354323892481708,0.0856108869687372,-0.0463527992349885,0.0608762577976992,-0.0290595227775018,-0.013530762116124,0.0614290275966713,-0.0117236324346845
"Bend6","blue","blue",0.248874065373548,0.191163983647905,-0.0103075054395031,-0.130753851855867,0.0667428199856854,0.0697476118960137,-0.099282909256602,0.113738458603648
"Dst","blue","blue",0.186995147445478,0.164897884635194,-0.150113915783691,-0.107857225823044,0.0190266795109871,-0.0365650479969625,0.167515344643909,-0.00737022840897259
"Ccdc115","grey","grey",-0.00396582479936692,0.0140238177346255,0.0389826209803166,0.0202324200144896,-0.00270628699053241,-0.00636000416150133,-0.0185846143662783,0.00610181610578696
"Imp4","grey","grey",0.0229360038297651,0.0465582619422111,0.0164069336362104,0.00776611043779438,-0.0175683675750432,-0.0222515398014195,-0.021222016467727,-0.00148980289433958
"Amer3","grey","grey",-0.00471327764638067,0.00897155554116014,0.0230981259906969,0.0115728776693277,0.0191777998729373,0.0293375277189183,0.0250626916830058,0.00132898612495119
"Arhgef4","turquoise","turquoise",0.0253895231167806,0.0504992697851296,0.023229139825821,0.00571782558244924,0.00852440614548564,0.0359762735564627,0.00128886241152448,-0.00722996512989594
"Fam168b","turquoise","turquoise",-0.0483551294206045,0.00899622190156404,0.0448799157596222,0.0493024788822808,-0.0191110235986279,-0.00136904657881836,0.0470687102278798,-0.0311224638151405
"Plekhb2","turquoise","turquoise",-0.0524158834876563,0.00329239893272973,0.153217114087643,0.0618728825428887,-0.00508585625010615,-0.0194506172217746,-0.0225797351050404,-0.0436453126872514
