gene_name,kME,rank,in_kegg_dopaminergic_synapse
Tmem86b,0.106133,588,0
Hdac5,0.105965,589,0
Gm15563,0.105876,590,0
Rap2c,0.105556,591,0
Mettl15,0.104555,592,0
Chic1,0.104438,593,0
Cdk9,0.103493,594,0
T2,0.103473,595,0
Smad5,0.102271,596,0
Otud4,0.100757,597,0
Pkd2l2,0.100477,598,0
Ubr5,0.100206,599,0
Tmem110,0.100019,600,0
3110035E14Rik,0.099872,601,0
Tlk2,0.099233,602,0
Kremen1,0.098592,603,0
Rtl5,0.098081,604,0
Nanos1,0.097756,605,0
Celf3,0.097312,606,0
Sun2,0.096915,607,0
Klhl7,0.096902,608,0
Adam10,0.096818,609,0
Zfp451,0.096697,610,0
Cdk2ap1,0.096656,611,0
Grip1os2,0.096583,612,0
Mcmbp,0.095443,613,0
Chka,0.094832,614,0
Dchs1,0.094305,615,0
Lpin1,0.093921,616,0
Atp6v1b2,0.093331,617,0
Zscan18,0.093045,618,0
Tmie,0.093025,619,0
Nfx1,0.092302,620,0
Rbm5,0.092082,621,0
Rnf38,0.090731,622,0
Hnrnpu,0.090588,623,0
Abca5,0.090126,624,0
Gm26836,0.089793,625,0
Rabl6,0.088800,626,0
Foxo3,0.088300,627,0
Arcn1,0.087756,628,0
Kdm5b,0.087689,629,0
Iqcg,0.087599,630,0
Wdr60,0.087255,631,0
Kdm5c,0.086978,632,0
Ipo5,0.086701,633,0
Gm10629,0.086328,634,0
Errfi1,0.086157,635,0
Rock2,0.086084,636,0
Phf20l1,0.086032,637,0
Kdm3a,0.084843,638,0
Coq3,0.084522,639,0
Tm9sf2,0.083528,640,0
Csnk1a1,0.083414,641,0
Gm28609,0.083373,642,0
Fgfr1op2,0.082768,643,0
Ndfip1,0.082717,644,0
Ss18l1,0.082116,645,0
Ankrd13c,0.081959,646,0
Rab21,0.081807,647,0
Spire1,0.081531,648,0
Dguok,0.081427,649,0
Nlk,0.080764,650,0
Rab31,0.080265,651,0
Creb1,0.079330,652,1
Rec114,0.078727,653,0
Mafg,0.078641,654,0
Ing4,0.078604,655,0
Gm16068,0.078525,656,0
Abi1,0.076434,657,0
Rif1,0.075997,658,0
Zfp329,0.075117,659,0
Dyrk1a,0.074660,660,0
Ncoa5,0.073481,661,0
Snx14,0.073149,662,0
Prkd2,0.071899,663,0
Stk40,0.069443,664,0
Tpm3,0.068350,665,0
Ythdf3,0.067874,666,0
Krit1,0.067500,667,0
Polq,0.066907,668,0
Edc3,0.066209,669,0
Ccdc92b,0.066192,670,0
Kat7,0.065754,671,0
Zfp512,0.065241,672,0
Syt12,0.064671,673,0
Trim39,0.064660,674,0
Kiz,0.064469,675,0
Zfp641,0.063699,676,0
Txndc16,0.063349,677,0
Mmab,0.062272,678,0
Rsf1os2,0.059940,679,0
N4bp2l1,0.055589,680,0
Irak1,0.054445,681,0
Cog8,0.053244,682,0
Gm32036,0.050909,683,0
Trpc1,0.049318,684,0
Kpna4,0.047439,685,0
Kdm6b,0.046746,686,0
2010111I01Rik,0.044070,687,0
Phkg1,0.042360,688,0
Vps26a,0.040537,689,0
Ccdc62,0.035102,690,0
Marf1,0.030582,691,0
Slc7a6os,0.029022,692,0
Elmsan1,0.021065,693,0
Fam171b,0.013955,694,0
Jmjd1c,0.013098,695,0
