gene_name,kME,rank,in_kegg_dopaminergic_synapse
Sptan1,0.184054,664,0
Hs3st1,0.183931,665,0
Kctd1,0.183898,666,0
Epb41l1,0.183870,667,0
Ntng2,0.183709,668,0
9430037G07Rik,0.183695,669,0
Lypd1,0.183495,670,0
Coro6,0.183478,671,0
Scn3a,0.182564,672,0
Itga9,0.182428,673,0
D10Wsu102e,0.182420,674,0
Arhgap23,0.182363,675,0
Rras2,0.182346,676,0
Syt9,0.182216,677,0
Ncoa3,0.182191,678,0
Col4a3bp,0.182163,679,0
Rgma,0.182049,680,0
Ermp1,0.181953,681,0
Eml2,0.181843,682,0
Gm28050,0.181594,683,0
Gm16183,0.181537,684,0
Rap1gap,0.181343,685,0
Lrtm1,0.181161,686,0
Diras2,0.181008,687,0
Grk5,0.181001,688,0
Dpysl3,0.180835,689,0
Ccdc136,0.180813,690,0
Bcan,0.180728,691,0
E330013P04Rik,0.180566,692,0
Sh3rf3,0.180394,693,0
Kif5a,0.180302,694,1
Slc6a15,0.179394,695,0
Ror2,0.179282,696,0
Shb,0.179126,697,0
Etnk1,0.178821,698,0
Dnajc13,0.178394,699,0
Aass,0.178380,700,0
Zfp943,0.177838,701,0
Ptpn2,0.177754,702,0
Ptpn3,0.177579,703,0
Dhcr24,0.177496,704,0
Jph1,0.176853,705,0
Zw10,0.176725,706,0
Elovl6,0.176701,707,0
2010300C02Rik,0.176467,708,0
Tle4,0.176450,709,0
Fam110b,0.176209,710,0
Morc4,0.176163,711,0
Gm47136,0.175961,712,0
Hexb,0.175619,713,0
Abcc4,0.175385,714,0
Tmtc3,0.175166,715,0
Edem3,0.174765,716,0
Zfp385a,0.174765,717,0
Add3,0.174598,718,0
Rell1,0.174440,719,0
Gm47271,0.174286,720,0
Gm12394,0.174168,721,0
Nfyc,0.173760,722,0
Tom1,0.173394,723,0
Sacs,0.173357,724,0
2610027F03Rik,0.173251,725,0
Tuft1,0.173220,726,0
Ptbp3,0.173016,727,0
Myt1,0.172623,728,0
Crot,0.172416,729,0
Mcf2l,0.172303,730,0
Macrod2os1,0.172052,731,0
Slc22a23,0.171998,732,0
AC154546.2,0.171944,733,0
Epas1,0.171909,734,0
Jakmip2,0.170994,735,0
Iqsec1,0.170850,736,0
Gm39244,0.170832,737,0
Sclt1,0.170741,738,0
C130021I20Rik,0.170553,739,0
Pitx3,0.170258,740,0
Diaph1,0.170223,741,0
Vps13a,0.170142,742,0
Zdhhc2,0.170096,743,0
Fbxl4,0.169891,744,0
Gpr161,0.169886,745,0
Hmbox1,0.169749,746,0
Fbxo28,0.169233,747,0
Cdc42bpb,0.168806,748,0
Sc5d,0.168658,749,0
Nipal2,0.168617,750,0
Kif1a,0.168314,751,0
Zfp57,0.168098,752,0
Plxna4os3,0.167923,753,0
Ano10,0.167505,754,0
Prss12,0.167463,755,0
Elf2,0.167032,756,0
6030443J06Rik,0.166912,757,0
Aco2,0.166762,758,0
Gmpr,0.166624,759,0
Fam241a,0.166507,760,0
Fbxo34,0.166289,761,0
Gm2824,0.166194,762,0
Gpr63,0.165835,763,0
Rarb,0.165764,764,0
Atp1a3,0.165373,765,0
Nr6a1,0.165171,766,0
Gm20629,0.164918,767,0
3110021N24Rik,0.164723,768,0
Herc1,0.164553,769,0
Rnf157,0.164381,770,0
Zmiz1,0.164177,771,0
Megf9,0.164138,772,0
Uap1,0.164091,773,0
Luzp1,0.163900,774,0
Spx,0.163768,775,0
Sri,0.162970,776,0
Ankrd29,0.162871,777,0
Rassf5,0.162692,778,0
Lmo7,0.162454,779,0
Tmem55a,0.162358,780,0
Acot7,0.162235,781,0
Ifitm10,0.162132,782,0
Rai14,0.161406,783,0
