gene_name,kME,rank,in_kegg_dopaminergic_synapse
Serinc5,0.208925,605,0
Necab3,0.208894,606,0
Pdcd4,0.208742,607,0
Slc41a2,0.208674,608,0
Insig1,0.208616,609,0
D130043K22Rik,0.207724,610,0
Slc16a10,0.207700,611,0
Bdnf,0.207688,612,0
Sgpp2,0.207547,613,0
Uap1,0.207324,614,0
Esrra,0.207078,615,0
Morc4,0.206819,616,0
Tuft1,0.206648,617,0
4933411O13Rik,0.206626,618,0
Pakap,0.205640,619,0
Pou3f3,0.205616,620,0
Itga9,0.205295,621,0
Larp1b,0.205095,622,0
2700069I18Rik,0.204707,623,0
Diras2,0.204521,624,0
Fat1,0.204104,625,0
9430037G07Rik,0.203354,626,0
Gm11655,0.203310,627,0
C130071C03Rik,0.203108,628,0
Gm13963,0.202947,629,0
Frs2,0.202902,630,0
Narf,0.202720,631,0
Hacd1,0.202199,632,0
A930012L18Rik,0.201525,633,0
Smpx,0.200932,634,0
Afap1,0.200299,635,0
Epas1,0.200249,636,0
Egfem1,0.200183,637,0
Chd7,0.199825,638,0
Myt1,0.199545,639,0
Aldh1a7,0.199429,640,0
Zc2hc1a,0.199251,641,0
Sppl2a,0.198885,642,0
Btbd3,0.198699,643,0
Lrrk2,0.198565,644,0
1700111E14Rik,0.198415,645,0
Cacna2d4,0.197666,646,0
H2-T22,0.197435,647,0
Ncoa3,0.197330,648,0
Grb14,0.197170,649,0
Gm26691,0.197036,650,0
4732471J01Rik,0.196895,651,0
Ltk,0.196668,652,0
Tmem241,0.196376,653,0
Gm29530,0.196108,654,0
Cpne8,0.195944,655,0
A330102I10Rik,0.195905,656,0
Add3,0.195771,657,0
Ermp1,0.195027,658,0
Jph1,0.194352,659,0
Fgfr2,0.194339,660,0
Cacnb4,0.194159,661,0
Ccser2,0.194108,662,0
Begain,0.194022,663,0
Ankrd29,0.193978,664,0
Rai14,0.193971,665,0
Srpx2,0.193496,666,0
6030443J06Rik,0.193365,667,0
Lpp,0.193125,668,0
Gm28050,0.192971,669,0
Gm36388,0.192595,670,0
4921518K17Rik,0.192117,671,0
En2,0.191783,672,0
Msmo1,0.191591,673,0
Pcx,0.191465,674,0
Dock2,0.190946,675,0
Dync1i1,0.190629,676,0
Prss12,0.190299,677,0
Pgap1,0.190072,678,0
Gm11817,0.189869,679,0
Ncapd3,0.189325,680,0
Cntln,0.188977,681,0
B230118H07Rik,0.188379,682,0
Chrna5,0.188372,683,0
Gm47134,0.188240,684,0
Rassf3,0.188232,685,0
Cacna1a,0.187855,686,1
Parm1,0.187236,687,0
Srpk2,0.187141,688,0
2900097C17Rik,0.187132,689,0
Ntn4,0.187079,690,0
Ncoa7,0.186825,691,0
Krt222,0.186618,692,0
Gm39185,0.186247,693,0
Ckb,0.186178,694,0
3110021N24Rik,0.185967,695,0
Chst10,0.185505,696,0
Pdzd8,0.185304,697,0
Hcrtr1,0.185189,698,0
Trim43c,0.185123,699,0
Rnf128,0.184980,700,0
Tesk2,0.184865,701,0
Gm28376,0.184732,702,0
Jam2,0.184619,703,0
Adamts20,0.184464,704,0
Frmd3,0.184248,705,0
Man1a2,0.184020,706,0
Cab39,0.183980,707,0
Chn2,0.183464,708,0
Gm2117,0.183434,709,0
Gm8206,0.183286,710,0
Tagln3,0.183281,711,0
Mpc1,0.182570,712,0
Wrn,0.181974,713,0
Oprk1,0.181951,714,0
Pfkfb3,0.181930,715,0
Megf9,0.181594,716,0
Elovl7,0.181307,717,0
Neurl1b,0.181276,718,0
2610027F03Rik,0.181046,719,0
Gm28175,0.180715,720,0
Elf2,0.180264,721,0
Rnf207,0.180233,722,0
Rps6ka1,0.180006,723,0
Diaph1,0.179690,724,0
St3gal6,0.179677,725,0
2810032G03Rik,0.179481,726,0
Nrg4,0.179346,727,0
Styk1,0.178681,728,0
Ubl3,0.178627,729,0
7420701I03Rik,0.178553,730,0
Cpeb2,0.177878,731,0
Mgst3,0.177842,732,0
Trim71,0.177718,733,0
C230034O21Rik,0.177670,734,0
Itgae,0.177068,735,0
Pip5kl1,0.176220,736,0
Nars2,0.175794,737,0
Ldlr,0.175655,738,0
Taf4b,0.175616,739,0
Dpf3,0.175434,740,0
Depdc5,0.175429,741,0
Stmn3,0.175177,742,0
Fam241a,0.174876,743,0
Cd46,0.174689,744,0
Lin28b,0.174676,745,0
Sncg,0.174518,746,0
Iqcm,0.174490,747,0
AI481877,0.174442,748,0
1700061I17Rik,0.174384,749,0
Rab11fip1,0.173775,750,0
Acvr1,0.173501,751,0
Myo15,0.173306,752,0
Zfp943,0.173186,753,0
Gm31508,0.172690,754,0
Igsf9b,0.172434,755,0
Tas1r1,0.172373,756,0
Nedd9,0.172205,757,0
Cdk17,0.171735,758,0
Cdkal1,0.170526,759,0
Dnajc17,0.170180,760,0
AC154546.2,0.169998,761,0
Dhcr24,0.169879,762,0
Gm46102,0.169607,763,0
Mapk12,0.169240,764,1
Col4a3bp,0.169028,765,0
Sacs,0.168904,766,0
Epb41,0.168761,767,0
Cds1,0.167901,768,0
Mcf2,0.167414,769,0
Optn,0.167266,770,0
Plxna4os3,0.167238,771,0
Fbln5,0.167171,772,0
Tmprss5,0.166977,773,0
Fbxo34,0.166398,774,0
1700019D03Rik,0.166365,775,0
Chrna3,0.166353,776,0
Rasd2,0.165468,777,0
Pgk1,0.165086,778,0
Kat6b,0.165074,779,0
Ccdc28a,0.165044,780,0
Tmem150c,0.164904,781,0
Lrrtm2,0.164556,782,0
Fam3c,0.164533,783,0
Gldn,0.164309,784,0
Lrtm1,0.164241,785,0
Gm15417,0.164234,786,0
Fam171b,0.163948,787,0
Habp4,0.163612,788,0
Hmcn1,0.163341,789,0
Gm34609,0.162834,790,0
Arrdc3,0.161974,791,0
Focad,0.161614,792,0
Tango2,0.161509,793,0
Nfyc,0.161380,794,0
Trim43a,0.161253,795,0
Limd1,0.161239,796,0
Gm14377,0.160573,797,0
4930556J24Rik,0.160533,798,0
Col26a1,0.160458,799,0
Atp1b3,0.160244,800,0
Gm7694,0.160023,801,0
Prtg,0.159669,802,0
Ttll7,0.159200,803,0
Foxa1,0.158914,804,0
Dkk3,0.158576,805,0
Nkd2,0.158383,806,0
Mrc1,0.158381,807,0
Adamts10,0.158289,808,0
Gm46329,0.158237,809,0
Vmn2r87,0.157959,810,0
Shisa4,0.157940,811,0
Slc22a14,0.157581,812,0
1700112D23Rik,0.157450,813,0
Hspa12a,0.157316,814,0
Stard5,0.156951,815,0
Zw10,0.156934,816,0
Rttn,0.156558,817,0
Mgat4a,0.156446,818,0
Mecr,0.156416,819,0
Ahr,0.156366,820,0
D730003I15Rik,0.156333,821,0
A830082K12Rik,0.156177,822,0
Scn2a,0.155983,823,0
Pgm2l1,0.155792,824,0
Asph,0.155366,825,0
Lin52,0.155139,826,0
Itgav,0.155124,827,0
Gm10827,0.155079,828,0
Adam22,0.154864,829,0
A730056A06Rik,0.154728,830,0
Nhsl1,0.154679,831,0
Fbn1,0.154468,832,0
Mettl15,0.154432,833,0
Usp3,0.153798,834,0
Kidins220,0.153668,835,0
Galnt9,0.153459,836,0
Gm4221,0.153417,837,0
Hs3st1,0.153374,838,0
Skap2,0.153345,839,0
Lmln,0.153223,840,0
Ptpn21,0.153102,841,0
A830009L08Rik,0.152546,842,0
Psg16,0.152486,843,0
Gm16183,0.152440,844,0
Cep70,0.152350,845,0
Myo5a,0.152068,846,0
Tmem47,0.152053,847,0
Bcas3,0.152034,848,0
Ripk2,0.152021,849,0
Atp5o,0.151898,850,0
Mdh1,0.151723,851,0
Cpe,0.151499,852,0
Vcl,0.151224,853,0
Gm39244,0.151090,854,0
Wdr25,0.150144,855,0
B830012L14Rik,0.150075,856,0
Psmb7,0.149425,857,0
4933412O06Rik,0.149165,858,0
Idi1,0.148980,859,0
Crot,0.148892,860,0
Cdkl2,0.148668,861,0
Plpp1,0.148364,862,0
Gm38407,0.148241,863,0
Itpr2,0.148221,864,1
E330013P04Rik,0.148084,865,0
Prkaa2,0.148021,866,0
Cdk6,0.147511,867,0
Tle4,0.147339,868,0
Fdft1,0.147113,869,0
Rapgef4os1,0.146922,870,0
Fgf9,0.146738,871,0
Fam126a,0.146611,872,0
Ankrd9,0.146300,873,0
Prdm5,0.146196,874,0
Mthfs,0.146013,875,0
Spx,0.146009,876,0
Lmbr1,0.145973,877,0
Plk4,0.145932,878,0
Snrpn,0.145917,879,0
Pzp,0.145802,880,0
Cd55,0.144851,881,0
Plekhg3,0.144525,882,0
Gm7854,0.144513,883,0
Pik3c2g,0.144296,884,0
Acyp2,0.144277,885,0
Fam13c,0.144185,886,0
Lair1,0.144044,887,0
Ccdc28b,0.143930,888,0
Dtnbp1,0.143907,889,0
Tbc1d8b,0.143883,890,0
Slc16a6,0.143685,891,0
Ppm1k,0.143549,892,0
Phlpp1,0.143074,893,0
Msh3,0.142937,894,0
Lcp1,0.142909,895,0
Rtl4,0.142884,896,0
Trp53inp2,0.142058,897,0
Pcmtd2,0.142034,898,0
Rnf213,0.141790,899,0
Cox19,0.141649,900,0
Blm,0.141576,901,0
Pcbd2,0.141361,902,0
Hltf,0.141246,903,0
Atp5a1,0.140968,904,0
Lclat1,0.140786,905,0
Gm20629,0.140445,906,0
Tmem218,0.140315,907,0
Fam84b,0.140034,908,0
4930452B06Rik,0.139973,909,0
4930567K20Rik,0.139674,910,0
Gm12511,0.139518,911,0
Actr2,0.139397,912,0
Cryl1,0.139232,913,0
Cpeb1,0.139223,914,0
Rbms2,0.138089,915,0
Gm35419,0.138046,916,0
Mif,0.137704,917,0
Cdyl2,0.137544,918,0
Dmac2,0.137510,919,0
Gm13710,0.137074,920,0
Got1,0.137039,921,0
Mab21l3,0.136880,922,0
Prune2,0.136505,923,0
Gm3234,0.136184,924,0
Thap12,0.135477,925,0
Enox2,0.135401,926,0
Hps3,0.134909,927,0
Parvb,0.134872,928,0
Gab3,0.134606,929,0
