gene_name,kME,rank,in_kegg_dopaminergic_synapse
Ldlr,0.246957,466,0
Gm1992,0.246800,467,0
Jam2,0.245462,468,0
Zc2hc1a,0.244457,469,0
Gm48166,0.244285,470,0
Kifc2,0.244249,471,0
Ispd,0.244109,472,0
Wdr25,0.243443,473,0
Ltbp1,0.242764,474,0
Fam196b,0.242653,475,0
Asap1,0.242636,476,0
Hsd17b7,0.242238,477,0
Snrpn,0.242200,478,0
Adrb1,0.241491,479,0
Lrtm1,0.241458,480,0
Cacna1b,0.241033,481,1
Pcx,0.240848,482,0
Gm2824,0.240565,483,0
Gm28750,0.240133,484,0
Bend6,0.240044,485,0
Npas3,0.238340,486,0
Micu3,0.238185,487,0
Msmo1,0.238131,488,0
AC154546.2,0.237766,489,0
Grk5,0.237073,490,0
Pvt1,0.237038,491,0
Jdp2,0.236932,492,0
Sh3gl2,0.236828,493,0
Atp5o,0.234723,494,0
Hmgn3,0.234392,495,0
Asph,0.232276,496,0
Agtpbp1,0.231337,497,0
Gm26906,0.231094,498,0
Msrb3,0.230941,499,0
Gm36146,0.230647,500,0
Sema7a,0.230530,501,0
Tlk1,0.230050,502,0
Megf9,0.229721,503,0
Gm11817,0.229394,504,0
Chrna5,0.229391,505,0
Jph1,0.229268,506,0
Mitf,0.229207,507,0
Trim43a,0.229006,508,0
Nek1,0.228955,509,0
Tagln3,0.228218,510,0
A730056A06Rik,0.228061,511,0
H2-T22,0.227764,512,0
Gpr63,0.227490,513,0
Sgpp2,0.227358,514,0
Plek2,0.227185,515,0
Nostrin,0.226642,516,0
Aldh1a7,0.225927,517,0
Pkp4,0.225723,518,0
Lin28b,0.224723,519,0
Gm39244,0.224151,520,0
Spx,0.223906,521,0
Lima1,0.223705,522,0
Atrnl1,0.223530,523,0
Lekr1,0.223206,524,0
Gm28285,0.222314,525,0
Garem1,0.221576,526,0
Morc4,0.221002,527,0
Pnrc1,0.220916,528,0
Gm48791,0.220286,529,0
Gmpr,0.219747,530,0
Gm26804,0.219401,531,0
Mindy2,0.218991,532,0
Acvr1,0.218955,533,0
Larp1b,0.218937,534,0
Mcf2l,0.218434,535,0
Tdrd5,0.218269,536,0
1810041L15Rik,0.217841,537,0
2010300C02Rik,0.217422,538,0
B830012L14Rik,0.217251,539,0
Dhcr24,0.216973,540,0
Gm13483,0.216940,541,0
2610027F03Rik,0.216874,542,0
Gm27032,0.216711,543,0
Idi1,0.216097,544,0
Pou3f3,0.214941,545,0
C230034O21Rik,0.214807,546,0
E330013P04Rik,0.214786,547,0
Limd1,0.214769,548,0
Plch1,0.214724,549,0
Il13ra1,0.214618,550,0
Sfxn5,0.214463,551,0
Gm2163,0.213523,552,0
Kansl1l,0.213074,553,0
Gm16036,0.213030,554,0
Rgma,0.212765,555,0
Hcrtr1,0.212696,556,0
Ivd,0.212556,557,0
4930578G10Rik,0.212427,558,0
Dnajc17,0.211592,559,0
Gm35549,0.210718,560,0
C130021I20Rik,0.209150,561,0
Gm29530,0.208951,562,0
Mroh1,0.208883,563,0
Apba2,0.208419,564,0
Rab6b,0.208296,565,0
Hexb,0.208058,566,0
1700061I17Rik,0.207532,567,0
Gm7580,0.207344,568,0
Gm47136,0.207265,569,0
Car11,0.207028,570,0
Tmtc3,0.206996,571,0
Fgf9,0.206308,572,0
Epas1,0.205913,573,0
Lair1,0.205702,574,0
Gm26624,0.205460,575,0
Vgll3,0.205227,576,0
Smarca2,0.205224,577,0
4930405A10Rik,0.205188,578,0
Pitpnm2,0.204668,579,0
Gm13883,0.204616,580,0
Cd55,0.204198,581,0
Rps6kc1,0.204092,582,0
Mrvi1,0.203573,583,0
Zmiz1,0.203243,584,0
En2,0.202619,585,0
Camkk2,0.202451,586,0
Arnt,0.202446,587,0
Ccnd3,0.202362,588,0
Dock2,0.201462,589,0
Ccdc28a,0.201135,590,0
Ltk,0.200306,591,0
Gm48003,0.200238,592,0
Plk4,0.199948,593,0
