"gene_name","module","color","kME_turquoise","kME_blue","kME_grey","kME_brown"
"RPA1","grey","grey",-0.0243371918602717,0.134682431786165,0.116631903634718,0.0569053950662841
"SMG6","grey","grey",0.171293647311705,-0.0353100972327982,0.157723354368232,0.0889616909936035
"TSR1","grey","grey",-0.037412600630008,0.120065545062087,0.095516507084158,0.062862540673055
"SGSM2","grey","grey",0.0894524212404209,-0.0164015611535084,0.0968660172661737,0.0779109647438174
"MNT","grey","grey",0.00724139262165955,0.039993250490224,0.0700594129989321,0.0628933576861788
"METTL16","turquoise","turquoise",0.179151209705449,-0.0953329094905349,0.0955044188303686,0.055638032861984
"PAFAH1B1","blue","blue",-0.160601775642798,0.335345344224929,0.198702934417871,0.217408319589785
"CLUH","blue","blue",-0.060937979621882,0.159828256875144,0.116071289759402,0.0816019449765733
"RAP1GAP2","turquoise","turquoise",0.276575696710361,-0.112354202424113,0.196450764602555,0.14964589814798
"TRPV1","grey","grey",-0.0451949118074678,0.10359567400071,0.0636504115225267,0.0265104288829237
"EMC6","blue","blue",-0.0988964738677594,0.173654035299372,0.0758178055001119,0.0589982181608396
"ITGAE","grey","grey",-0.0238215844399652,0.109926250130598,0.0905666883718847,0.0751448739224446
"NCBP3","turquoise","turquoise",0.153067666801691,-0.0665074989861439,0.0901413405544906,0.0443629647064538
"CAMKK1","grey","grey",0.0279807088560028,0.0828543814652968,0.130853467828034,0.0716235999641598
"ATP2A3","blue","blue",-0.112512953309865,0.206111890232422,0.118532698546717,0.090550416516796
"ZZEF1","turquoise","turquoise",0.212777629752114,-0.0731493767856151,0.150614957240257,0.0930359893187107
"CYB5D2","grey","grey",0.0226574534234722,0.0708879882809129,0.106314041122907,0.0666175558914349
"ANKFY1","turquoise","turquoise",0.220735494506769,-0.0965213340210533,0.144874712263907,0.0948880558160032
"UBE2G1","turquoise","turquoise",0.212751956630033,-0.0809823672581406,0.141505634866195,0.0765228860219465
"SPNS2","turquoise","turquoise",0.155455213299844,-0.066903893223986,0.0959964122401381,0.0558854066187895
"MYBBP1A","blue","blue",-0.0451765378536207,0.119654749690747,0.0844441594410953,0.0454856554548715
"PELP1","blue","blue",-0.0698571336058253,0.15374624842246,0.102324134851933,0.0548119659126449
"ARRB2","grey","grey",-0.0177807292275613,0.0907963051660008,0.0852009053202042,0.0590431148421017
"PSMB6","blue","blue",-0.142477008118175,0.254789239413723,0.0927542209763322,0.0456699608674197
"MINK1","grey","grey",0.116510043462002,0.00470950347567405,0.134858614772555,0.081202013215872
"SLC25A11","blue","blue",-0.18933982975341,0.326227921448664,0.128707765434927,0.0904488507509945
"RNF167","grey","grey",-0.060919246949819,0.132057033136394,0.0828203383855895,0.0745007252432699
"PFN1","blue","blue",-0.124573289964738,0.239569772040141,0.106714518882587,0.0740148224207633
"SPAG7","blue","blue",-0.09050809263152,0.181024736614478,0.0840323929307936,0.0681000701034332
"CAMTA2","grey","grey",-0.0177044016602281,0.10891847782752,0.111488633511983,0.0887210532859072
"USP6","grey","grey",-0.0388126937385467,0.0980537210261902,0.0806368946334026,0.109686142888668
"RABEP1","brown","brown",0.0650638281515604,0.113156549050097,0.212222778334481,0.254195791313951
"NUP88","grey","grey",0.0643402053900048,0.0128462629190264,0.0889792445609919,0.0492031503689616
"RPAIN","grey","grey",0.0159932553352592,0.0919418479708686,0.110632278308469,0.054037307644818
"C1QBP","blue","blue",-0.188916127817731,0.330877161309119,0.126442322237129,0.0752653943743893
"DERL2","grey","grey",-0.0206459506585741,0.0818941283346223,0.0680168907352904,0.0485980919291086
"NLRP1","grey","grey",0.0224749775893382,0.127327288783598,0.157274615543764,0.129033907777749
"WSCD1","grey","grey",0.0373077965025228,0.00579398555019461,0.0627785321769264,0.0545082893975625
