"gene_name","module","color","kME_yellow","kME_blue","kME_grey","kME_brown","kME_turquoise","kME_red","kME_green"
"Acat2","blue","blue",0.0857697502201261,0.142155589357653,0.131145541445612,0.0363333020086792,-0.0931524207116367,0.120020456034013,-0.0436475955308627
"Wtap","turquoise","turquoise",0.010665836103229,-0.0268191897484871,0.0243287661626284,0.0169028610398083,0.0410407054952888,-0.00295105007210219,-0.00513291330478632
"Sod2","brown","brown",-0.0209474025606364,0.0862377448673758,0.0970214018048116,0.111588156968775,-0.049456577457845,0.0283383714297984,0.0373342399442121
"Tcte2","yellow","yellow",0.177922413107414,0.0522860052064706,0.0733932408039723,-0.0639667730436825,-0.0212581068025651,0.0168438712532329,0.0463092873252216
"Gm16050","grey","grey",0.0358914881218549,0.0330672882412008,0.0203407723267255,-0.02252818639444,-0.0236943769116986,0.01726493887724,0.00532828974916477
"Afdn","turquoise","turquoise",0.0773825379505859,-0.0723398468094969,0.0631313432969529,-0.012419361577549,0.130809914064096,0.0531741309626952,-0.0471624847685384
"Dact2","grey","grey",0.0142041235675113,0.000110016059381772,-0.0027388965144303,0.0313945015233283,-0.00300585290645569,-0.00201549333419963,-0.0150246776920615
"Wdr27","blue","blue",-0.0187167303446481,0.0845386747915664,0.0800676614084564,0.0164577753901766,-0.0585941996310594,0.0339138918227833,0.0136146501850783
"1600012H06Rik","grey","grey",0.00273088017417481,0.0477686702147314,0.057334085009133,-0.001342420825986,-0.024462990894796,0.028359063780891,-0.00122924302263421
"Phf10","grey","grey",0.0186085572309701,0.00748370457337738,0.042095580212431,0.00603524345326142,0.0120787867666412,0.0238240855153119,-0.0111288928896478
"Gm3417","grey","grey",0.00166108331202649,-0.00868063972022639,0.00869564586468859,0.00564057146391927,0.0141842611076989,0.0077030863851846,-0.0220796245603769
"9030025P20Rik","grey","grey",0.0171279232441465,0.0267059905454454,0.0398990717391943,-0.0153576401623508,-0.00829184943471202,0.0109238496013966,0.0132991617282696
"Gm3448","grey","grey",0.000533538275668569,0.0236893249249822,0.0564951373392672,-0.00124396276902525,0.00164753151505795,-0.00266694086180429,0.00981163646443478
"Gm3435","grey","grey",0.0160877895300381,0.0368252957669949,0.0371613192317029,0.010845908775559,-0.0281558683871092,-0.0126360556643023,0.0413456921246782
"Ermard","grey","grey",0.0183261095964877,0.0748319672670339,0.113733178347873,0.00233713670228288,-0.0307653137617079,0.0664015495325323,-0.00527952849707954
"Dll1","blue","blue",0.0179221563296358,0.0729486941117399,0.0214129172172992,0.0277579597187991,-0.0677747941908398,0.0426938020087297,-0.0117336497905543
"Fam120b","grey","grey",0.0610450708805803,0.0246727502985905,0.0697398813559528,-0.0130336984404982,0.00963531006257813,0.0463617701609823,-0.00158568884176792
"AC154378.1","grey","grey",0.0224589455850477,0.0187775628632807,0.0415083404377839,-0.0279018936214144,0.00088639521822411,0.0133677981095415,0.0108729828979569
"Psmb1","brown","brown",-0.0214392211988626,0.0359307824565136,0.026498952560431,0.263059999954234,-0.0481479128222275,-0.00406321405045865,-0.00618541321810774
"Tbp","grey","grey",0.0101749103734789,0.00564589060925978,0.040955029235582,-0.00637349732026759,0.017058984645549,0.0106144080100748,0.00769814072248726
"Pdcd2","grey","grey",-0.0119073442944,0.0319803713592465,0.0311566731174411,0.0445796704685226,-0.0247427431857296,0.0119362698731617,-0.00122091246841884
"Prdm9","blue","blue",0.0166012831726888,0.0696020725331933,0.0376261793155363,-5.32458142989169e-05,-0.0589960254518683,0.0168388034173973,0.0214626443680261
