"gene_name","module","color","kME_grey","kME_yellow","kME_salmon","kME_green","kME_brown","kME_blue","kME_turquoise","kME_red","kME_cyan","kME_magenta","kME_black","kME_purple","kME_greenyellow","kME_pink","kME_tan"
"Stau2","grey","grey",0.253650613678053,0.159194213714491,0.0845462965742279,0.0618626810592914,-0.0360459345431743,0.180813457112818,-0.0917195620843411,0.0479478829060997,0.105818022965754,0.00476077951806931,0.0423443541185744,0.0230277371776802,0.0220310493295731,0.00807657146596941,0.0632209758930332
"Gm7568","grey","grey",0.0483634422645151,0.0409318917888135,0.0284405687246422,0.00645038340210974,0.0119625542698771,0.00783846735642043,-0.00303620416769995,0.0411972778260145,0.0240825327647939,0.00252631299495037,0.0133309415923014,0.0190889207257594,0.0298444545879978,-0.0148156881226919,0.0111668423064015
"Ube2w","grey","grey",0.177101405378633,0.0903387240128709,0.0842175636490348,0.0852234594220713,0.00150677568398476,0.0921029562133602,-0.0734668510452132,0.0365723037032588,0.059016098618682,0.0408129265634449,0.00800691642964699,0.0551676007516595,0.0242715622969204,0.00132216769297274,0.0203475330244145
"Eloc","turquoise","turquoise",0.0254704595511895,-0.0120072379485093,-0.0301770509070687,0.00447390153165111,-0.0276977556136819,0.0403791824253849,0.138505634728017,-0.0387237487684782,-0.00512698599678667,0.00935506853784363,-0.00533207312551814,-0.0259296626986871,-0.0254779533169083,0.104892031093907,0.0221383328973152
"Tmem70","grey","grey",0.034765580367352,0.00285976737817986,-0.0144232764179876,-0.000331467519584378,-0.00736356347510813,0.0312599647157746,0.0145384711300146,-0.00928791261091682,0.00526004636455397,0.00267819023725023,-0.000977504456941011,-0.0169591291718958,-0.0125220132649764,0.0238722411781396,0.0182701639595367
"Gm28376","red","red",0.0251690988302505,0.195005870008399,0.0655391872064786,-0.170967314206291,0.041663087780206,-0.0405331348680403,0.00739585976994205,0.268162349601767,0.17979302639765,-0.174526739111296,0.0879922100563808,-0.0574654406284381,0.196574052595061,-0.0607757803780621,-0.0847361385931754
"Jph1","red","red",0.026361722391953,0.178572087807626,0.0512876905506396,-0.147007817332735,0.0323946906410875,-0.0237896852323813,-0.017792966270105,0.231972278313038,0.153493029363933,-0.14871793143275,0.0911062943615651,-0.0577913463160054,0.164897815155736,-0.0617796381308343,-0.0593654403993425
"Gdap1","grey","grey",0.0838410825651129,0.000710028708023145,0.000428301307071261,0.0166560644459363,-0.000798009691022475,0.0442488818753184,0.0335334691882867,-0.0113588960906047,-0.00499660182247759,0.038196085775756,-0.0228975838015893,0.00431585036613078,-0.0169965907824816,0.04501265595889,0.0188241184858305
"Gm28154","yellow","yellow",0.0526087218837725,0.208839006590485,0.185235049135207,0.0567236482198674,-0.0752622824687148,0.0672905193314951,-0.036179299235397,0.151603601844248,0.109058427052427,-0.109629231013653,-0.0470960966107393,0.078082352241131,0.00785080550966067,0.00789209570005935,-0.127841337484989
"Gm16070","yellow","yellow",0.148823583813453,0.384635675283625,0.3708185983544,0.122042365119672,-0.101607607777658,0.127044434742435,-0.0690252001516613,0.307849060954291,0.177621179603698,-0.159532374287696,-0.0856448438721193,0.172181358866623,0.0447798772895851,-0.0164262578671611,-0.224026886057936
"Crispld1","salmon","salmon",0.0355146178183935,0.162118182644662,0.205570250798171,0.0537420495771623,-0.044732424022256,0.0227559734711432,-0.00751574751727029,0.15752814239192,0.0643456060843354,-0.0886782749488357,-0.0573353692039531,0.10431969964762,0.0198360707367628,0.00540035420352015,-0.135523967213217
"Gm28153","red","red",0.0442355601326834,0.170064640755311,0.224249503195339,-0.00052456408874118,0.0512221033404436,-0.0583092280493041,0.0551594328515241,0.254468426539652,0.0953070228988787,-0.0996631704047108,-0.0486004261124593,0.14902501376623,0.0948894438586089,-0.0315541335736584,-0.181887125165961
"Pkhd1","grey","grey",0.0684853394755443,0.0161942762419154,0.0330413916595953,0.0513461659012053,0.0279359151785741,0.0117998130703834,-0.0165581207139438,0.007598156661527,0.0331939371269977,0.0390742690207541,0.0358441190581083,0.052903347752112,0.0152464717044234,-0.00582055880852752,0.0333023460127944
"Paqr8","green","green",0.0299019329312072,-0.00467616842654583,0.0735970058353614,0.128826105994485,-0.0168503024207365,0.0227318802110901,-0.00897048714614621,-0.012108775627442,-0.0634060066107124,0.0791937799397718,-0.107848845517074,0.0938514172430954,-0.0740830474296019,0.0292067316125094,-0.0594833718986685
"Tmem14a","turquoise","turquoise",-0.00444634357790563,-0.00619704300149348,-0.0185672063486467,-0.0239453117949071,0.0043758692317749,0.00242840532629466,0.0906339802503123,-0.000397768704362516,0.0148637954816442,0.00595404245693658,-0.00429307668733171,-0.019831652103809,-0.00366631662329174,0.0639890710834442,0.0120854344196371
"Gsta3","grey","grey",0.0279195688667583,-0.00390061856836522,0.0270051655578699,-0.00323872546961549,0.066675129613789,-0.0532187610871145,-0.0170720139997993,0.0433820859846503,-0.000578326658599946,0.0398504914053212,-0.00793494565860676,0.0465404814712777,0.0463074012592609,-0.0581128323852707,-0.00457822287503928
